Vertikaalne (alustaja)	 Aljevt 1
Horisontaalne	 agoa 3
Mängu algus	 2011-01-28 07:49:12
Mängu kestus	 02:11
Võitja	 Aljevt 1
1:	 Aljevt 1	 1 0
2:	 agoa 3	 4 0
3:	 Aljevt 1	 1 2
4:	 agoa 3	 6 0
5:	 Aljevt 1	 1 4
6:	 agoa 3	 8 0
7:	 Aljevt 1	 1 6
8:	 agoa 3	 10 0
9:	 Aljevt 1	 1 8
10:	 agoa 3	 2 1
11:	 Aljevt 1	 1 10
12:	 agoa 3	 4 2
13:	 Aljevt 1	 3 8
14:	 agoa 3	 6 2
15:	 Aljevt 1	 3 6
16:	 agoa 3	 8 2
17:	 Aljevt 1	 3 4
18:	 agoa 3	 10 2
19:	 Aljevt 1	 3 2
20:	 agoa 3	 6 4
21:	 Aljevt 1	 3 10
22:	 agoa 3	 8 4
23:	 Aljevt 1	 5 3
24:	 agoa 3	 4 6
25:	 Aljevt 1	 5 7
26:	 agoa 3	 6 6
27:	 Aljevt 1	 5 9
28:	 agoa 3	 8 6
29:	 Aljevt 1	 7 7
30:	 agoa 3	 10 6
31:	 Aljevt 1	 6 10
32:	 agoa 3	 8 8
33:	 Aljevt 1	 7 9
34:	 agoa 3	 10 8
35:	 Aljevt 1	 9 9
36:	 agoa 3	 10 10
37:	 Aljevt 1	 10 3
38:	 agoa 3	 4 1
39:	 Aljevt 1	 4 10
40:	 agoa 3	 6 1
41:	 Aljevt 1	 8 10
42:	 agoa 3	 8 1
43:	 Aljevt 1	 0 0
44:	 agoa 3	 10 1
45:	 Aljevt 1	 0 2
46:	 agoa 3	 6 3
47:	 Aljevt 1	 0 4
48:	 agoa 3	 8 3
49:	 Aljevt 1	 0 6
50:	 agoa 3	 4 5
51:	 Aljevt 1	 0 8
52:	 agoa 3	 10 5
53:	 Aljevt 1	 0 10
54:	 agoa 3	 6 5
55:	 Aljevt 1	 2 2
56:	 agoa 3	 8 5
57:	 Aljevt 1	 2 4
58:	 agoa 3	 8 7
59:	 Aljevt 1	 2 6
60:	 agoa 3	 10 7
61:	 Aljevt 1	 2 8
62:	 agoa 3	 10 9
63:	 Aljevt 1	 2 10
64:	 agoa 3	 9 11
65:	 Aljevt 1	 4 3
66:	 agoa 3	 2 0
67:	 Aljevt 1	 4 7
