Vertikaalne (alustaja)	 Aljevt 2
Horisontaalne	 Ignorance 1
Mängu algus	 2011-01-02 18:30:10
Mängu kestus	 00:01
Võitja	 Aljevt 2
1:	 Aljevt 2	 10 10
2:	 Ignorance 1	 0 0
3:	 Aljevt 2	 10 8
4:	 Ignorance 1	 0 2
5:	 Aljevt 2	 10 6
6:	 Ignorance 1	 0 4
7:	 Aljevt 2	 10 4
8:	 Ignorance 1	 0 6
9:	 Aljevt 2	 10 2
10:	 Ignorance 1	 0 8
11:	 Aljevt 2	 10 0
12:	 Ignorance 1	 0 10
13:	 Aljevt 2	 8 10
14:	 Ignorance 1	 2 0
15:	 Aljevt 2	 8 8
16:	 Ignorance 1	 2 2
17:	 Aljevt 2	 8 6
18:	 Ignorance 1	 2 4
19:	 Aljevt 2	 8 4
20:	 Ignorance 1	 2 6
21:	 Aljevt 2	 8 2
22:	 Ignorance 1	 2 8
23:	 Aljevt 2	 8 0
24:	 Ignorance 1	 2 10
25:	 Aljevt 2	 6 10
26:	 Ignorance 1	 4 0
27:	 Aljevt 2	 6 8
28:	 Ignorance 1	 4 2
29:	 Aljevt 2	 6 6
30:	 Ignorance 1	 4 4
31:	 Aljevt 2	 6 4
32:	 Ignorance 1	 4 6
33:	 Aljevt 2	 6 2
34:	 Ignorance 1	 4 8
35:	 Aljevt 2	 6 0
36:	 Ignorance 1	 4 10
37:	 Aljevt 2	 11 10
38:	 Ignorance 1	 0 1
39:	 Aljevt 2	 11 8
40:	 Ignorance 1	 0 3
41:	 Aljevt 2	 11 6
42:	 Ignorance 1	 0 5
43:	 Aljevt 2	 11 4
44:	 Ignorance 1	 0 7
45:	 Aljevt 2	 11 2
46:	 Ignorance 1	 0 9
47:	 Aljevt 2	 11 0
48:	 Ignorance 1	 0 11
49:	 Aljevt 2	 9 10
50:	 Ignorance 1	 2 1
51:	 Aljevt 2	 9 8
52:	 Ignorance 1	 2 3
53:	 Aljevt 2	 9 6
54:	 Ignorance 1	 2 5
55:	 Aljevt 2	 9 4
56:	 Ignorance 1	 2 7
57:	 Aljevt 2	 9 2
58:	 Ignorance 1	 2 9
59:	 Aljevt 2	 9 0
60:	 Ignorance 1	 3 11
61:	 Aljevt 2	 7 10
62:	 Ignorance 1	 4 1
63:	 Aljevt 2	 7 8
64:	 Ignorance 1	 4 3
65:	 Aljevt 2	 7 6
66:	 Ignorance 1	 4 5
67:	 Aljevt 2	 7 4
68:	 Ignorance 1	 4 7
69:	 Aljevt 2	 7 2
70:	 Ignorance 1	 4 9
71:	 Aljevt 2	 7 0
