Vertikaalne (alustaja)	 Kristjan 1
Horisontaalne	 jyrno42 3
Mängu algus	 2011-01-02 18:26:28
Mängu kestus	 00:00
Võitja	 jyrno42 3
1:	 Kristjan 1	 11 10
2:	 jyrno42 3	 9 10
3:	 Kristjan 1	 11 8
4:	 jyrno42 3	 9 8
5:	 Kristjan 1	 11 6
6:	 jyrno42 3	 9 6
7:	 Kristjan 1	 11 4
8:	 jyrno42 3	 9 4
9:	 Kristjan 1	 11 2
10:	 jyrno42 3	 9 2
11:	 Kristjan 1	 11 0
12:	 jyrno42 3	 7 4
13:	 Kristjan 1	 10 0
14:	 jyrno42 3	 7 2
15:	 Kristjan 1	 9 0
16:	 jyrno42 3	 7 6
17:	 Kristjan 1	 8 10
18:	 jyrno42 3	 7 8
19:	 Kristjan 1	 8 0
20:	 jyrno42 3	 6 10
21:	 Kristjan 1	 7 0
22:	 jyrno42 3	 5 8
23:	 Kristjan 1	 6 6
24:	 jyrno42 3	 4 10
25:	 Kristjan 1	 6 4
26:	 jyrno42 3	 3 8
27:	 Kristjan 1	 6 2
28:	 jyrno42 3	 2 10
29:	 Kristjan 1	 6 0
30:	 jyrno42 3	 1 8
31:	 Kristjan 1	 5 6
32:	 jyrno42 3	 0 10
33:	 Kristjan 1	 5 4
34:	 jyrno42 3	 3 6
35:	 Kristjan 1	 5 2
36:	 jyrno42 3	 1 6
37:	 Kristjan 1	 5 0
38:	 jyrno42 3	 3 4
39:	 Kristjan 1	 4 2
40:	 jyrno42 3	 1 4
41:	 Kristjan 1	 4 0
42:	 jyrno42 3	 2 2
43:	 Kristjan 1	 3 0
44:	 jyrno42 3	 0 2
45:	 Kristjan 1	 2 0
46:	 jyrno42 3	 0 0
47:	 Kristjan 1	 0 8
48:	 jyrno42 3	 9 11
49:	 Kristjan 1	 0 6
50:	 jyrno42 3	 0 11
51:	 Kristjan 1	 0 4
52:	 jyrno42 3	 4 11
