Vertikaalne (alustaja)	 agoa 2
Horisontaalne	 moment92 2
Mängu algus	 2011-01-02 18:14:32
Mängu kestus	 02:32
Võitja	 moment92 2
1:	 agoa 2	 1 0
2:	 moment92 2	 0 10
3:	 agoa 2	 3 0
4:	 moment92 2	 2 10
5:	 agoa 2	 5 0
6:	 moment92 2	 4 10
7:	 agoa 2	 7 0
8:	 moment92 2	 6 10
9:	 agoa 2	 9 0
10:	 moment92 2	 8 10
11:	 agoa 2	 1 2
12:	 moment92 2	 10 10
13:	 agoa 2	 3 2
14:	 moment92 2	 0 8
15:	 agoa 2	 5 2
16:	 moment92 2	 2 8
17:	 agoa 2	 7 2
18:	 moment92 2	 4 8
19:	 agoa 2	 9 2
20:	 moment92 2	 10 8
21:	 agoa 2	 1 4
22:	 moment92 2	 6 8
23:	 agoa 2	 1 6
24:	 moment92 2	 8 8
25:	 agoa 2	 3 4
26:	 moment92 2	 10 6
27:	 agoa 2	 3 6
28:	 moment92 2	 4 6
29:	 agoa 2	 5 4
30:	 moment92 2	 8 6
31:	 agoa 2	 9 4
32:	 moment92 2	 10 1
33:	 agoa 2	 7 4
34:	 moment92 2	 10 3
35:	 agoa 2	 7 6
36:	 moment92 2	 10 5
37:	 agoa 2	 6 6
38:	 moment92 2	 10 0
39:	 agoa 2	 0 0
40:	 moment92 2	 10 2
41:	 agoa 2	 2 0
42:	 moment92 2	 10 4
43:	 agoa 2	 4 0
44:	 moment92 2	 8 7
45:	 agoa 2	 6 0
46:	 moment92 2	 10 7
47:	 agoa 2	 8 0
48:	 moment92 2	 0 9
49:	 agoa 2	 0 2
50:	 moment92 2	 0 11
51:	 agoa 2	 2 2
52:	 moment92 2	 2 9
53:	 agoa 2	 4 2
54:	 moment92 2	 2 11
55:	 agoa 2	 4 4
56:	 moment92 2	 4 9
57:	 agoa 2	 6 2
58:	 moment92 2	 4 11
59:	 agoa 2	 6 4
60:	 moment92 2	 6 9
61:	 agoa 2	 8 2
62:	 moment92 2	 10 9
63:	 agoa 2	 8 4
64:	 moment92 2	 4 7
65:	 agoa 2	 0 4
66:	 moment92 2	 8 9
67:	 agoa 2	 0 6
68:	 moment92 2	 6 11
69:	 agoa 2	 2 4
70:	 moment92 2	 8 11
71:	 agoa 2	 2 6
72:	 moment92 2	 10 11
