Vertikaalne (alustaja)	 antsr 3
Horisontaalne	 Aljevt 2
Mängu algus	 2011-01-28 07:41:55
Mängu kestus	 05:00
Võitja	 Aljevt 2
1:	 antsr 3	 10 10
2:	 Aljevt 2	 0 1
3:	 antsr 3	 10 8
4:	 Aljevt 2	 0 3
5:	 antsr 3	 10 6
6:	 Aljevt 2	 0 5
7:	 antsr 3	 10 4
8:	 Aljevt 2	 0 7
9:	 antsr 3	 10 2
10:	 Aljevt 2	 2 1
11:	 antsr 3	 10 0
12:	 Aljevt 2	 0 9
13:	 antsr 3	 1 10
14:	 Aljevt 2	 2 3
15:	 antsr 3	 8 10
16:	 Aljevt 2	 2 5
17:	 antsr 3	 8 8
18:	 Aljevt 2	 4 1
19:	 antsr 3	 8 6
20:	 Aljevt 2	 4 3
21:	 antsr 3	 8 4
22:	 Aljevt 2	 4 5
23:	 antsr 3	 3 10
24:	 Aljevt 2	 2 7
25:	 antsr 3	 8 2
26:	 Aljevt 2	 6 1
27:	 antsr 3	 8 0
28:	 Aljevt 2	 6 3
29:	 antsr 3	 6 10
30:	 Aljevt 2	 4 10
31:	 antsr 3	 6 4
32:	 Aljevt 2	 2 9
33:	 antsr 3	 6 8
34:	 Aljevt 2	 4 7
35:	 antsr 3	 6 6
36:	 Aljevt 2	 4 8
37:	 antsr 3	 2 10
38:	 Aljevt 2	 0 8
39:	 antsr 3	 0 10
40:	 Aljevt 2	 0 0
41:	 antsr 3	 11 10
42:	 Aljevt 2	 0 2
43:	 antsr 3	 11 8
44:	 Aljevt 2	 0 4
45:	 antsr 3	 11 6
46:	 Aljevt 2	 0 6
47:	 antsr 3	 11 4
48:	 Aljevt 2	 2 0
49:	 antsr 3	 11 2
50:	 Aljevt 2	 2 4
51:	 antsr 3	 11 0
52:	 Aljevt 2	 2 6
53:	 antsr 3	 9 10
54:	 Aljevt 2	 2 2
55:	 antsr 3	 9 6
56:	 Aljevt 2	 2 8
57:	 antsr 3	 9 8
58:	 Aljevt 2	 4 0
59:	 antsr 3	 7 6
60:	 Aljevt 2	 4 2
61:	 antsr 3	 9 0
62:	 Aljevt 2	 4 4
63:	 antsr 3	 9 4
64:	 Aljevt 2	 4 6
65:	 antsr 3	 9 2
66:	 Aljevt 2	 4 9
67:	 antsr 3	 7 10
68:	 Aljevt 2	 4 11
69:	 antsr 3	 7 8
70:	 Aljevt 2	 6 0
71:	 antsr 3	 7 4
72:	 Aljevt 2	 6 2
