Vertikaalne (alustaja)	 avo 1
Horisontaalne	 jrepan 2
Mängu algus	 2011-01-02 18:29:16
Mängu kestus	 00:03
Võitja	 jrepan 2
1:	 avo 1	 10 10
2:	 jrepan 2	 0 1
3:	 avo 1	 10 8
4:	 jrepan 2	 0 3
5:	 avo 1	 10 6
6:	 jrepan 2	 0 5
7:	 avo 1	 10 4
8:	 jrepan 2	 0 7
9:	 avo 1	 10 2
10:	 jrepan 2	 0 9
11:	 avo 1	 10 0
12:	 jrepan 2	 2 1
13:	 avo 1	 8 10
14:	 jrepan 2	 2 3
15:	 avo 1	 8 8
16:	 jrepan 2	 2 5
17:	 avo 1	 8 6
18:	 jrepan 2	 2 7
19:	 avo 1	 8 4
20:	 jrepan 2	 4 5
21:	 avo 1	 8 2
22:	 jrepan 2	 2 9
23:	 avo 1	 8 0
24:	 jrepan 2	 4 1
25:	 avo 1	 3 10
26:	 jrepan 2	 6 1
27:	 avo 1	 6 10
28:	 jrepan 2	 4 10
29:	 avo 1	 6 8
30:	 jrepan 2	 4 3
31:	 avo 1	 6 6
32:	 jrepan 2	 4 7
33:	 avo 1	 6 4
34:	 jrepan 2	 6 3
35:	 avo 1	 4 8
36:	 jrepan 2	 0 10
37:	 avo 1	 2 10
38:	 jrepan 2	 0 11
39:	 avo 1	 11 10
40:	 jrepan 2	 0 0
41:	 avo 1	 11 8
42:	 jrepan 2	 0 2
43:	 avo 1	 11 6
44:	 jrepan 2	 0 4
45:	 avo 1	 11 4
46:	 jrepan 2	 0 6
47:	 avo 1	 11 2
48:	 jrepan 2	 0 8
49:	 avo 1	 11 0
50:	 jrepan 2	 2 8
51:	 avo 1	 9 10
52:	 jrepan 2	 2 0
53:	 avo 1	 9 8
54:	 jrepan 2	 2 2
55:	 avo 1	 9 6
56:	 jrepan 2	 2 4
57:	 avo 1	 9 4
58:	 jrepan 2	 4 4
59:	 avo 1	 9 2
60:	 jrepan 2	 2 6
61:	 avo 1	 9 0
62:	 jrepan 2	 4 6
63:	 avo 1	 7 10
64:	 jrepan 2	 4 0
65:	 avo 1	 7 8
66:	 jrepan 2	 4 11
67:	 avo 1	 7 6
68:	 jrepan 2	 4 2
69:	 avo 1	 7 4
70:	 jrepan 2	 6 0
71:	 avo 1	 5 8
72:	 jrepan 2	 6 2
