Vertikaalne (alustaja)	 avo 1
Horisontaalne	 jyrno42 3
Mängu algus	 2010-12-31 09:35:57
Mängu kestus	 03:02
Võitja	 avo 1
1:	 avo 1	 10 10
2:	 jyrno42 3	 10 8
3:	 avo 1	 10 6
4:	 jyrno42 3	 10 4
5:	 avo 1	 10 2
6:	 jyrno42 3	 8 10
7:	 avo 1	 10 0
8:	 jyrno42 3	 8 8
9:	 avo 1	 8 6
10:	 jyrno42 3	 8 4
11:	 avo 1	 8 2
12:	 jyrno42 3	 6 8
13:	 avo 1	 8 0
14:	 jyrno42 3	 6 10
15:	 avo 1	 6 6
16:	 jyrno42 3	 6 4
17:	 avo 1	 6 2
18:	 jyrno42 3	 4 8
19:	 avo 1	 6 0
20:	 jyrno42 3	 4 10
21:	 avo 1	 4 6
22:	 jyrno42 3	 4 4
23:	 avo 1	 4 2
24:	 jyrno42 3	 2 8
25:	 avo 1	 4 0
26:	 jyrno42 3	 2 10
27:	 avo 1	 2 6
28:	 jyrno42 3	 2 4
29:	 avo 1	 2 2
30:	 jyrno42 3	 0 2
31:	 avo 1	 2 0
32:	 jyrno42 3	 0 4
33:	 avo 1	 1 10
34:	 jyrno42 3	 0 6
35:	 avo 1	 1 8
36:	 jyrno42 3	 0 0
37:	 avo 1	 7 5
38:	 jyrno42 3	 0 7
39:	 avo 1	 11 9
40:	 jyrno42 3	 8 11
41:	 avo 1	 11 5
42:	 jyrno42 3	 6 11
43:	 avo 1	 9 5
44:	 jyrno42 3	 4 11
45:	 avo 1	 11 2
46:	 jyrno42 3	 2 11
47:	 avo 1	 11 0
48:	 jyrno42 3	 0 1
49:	 avo 1	 9 2
50:	 jyrno42 3	 0 3
51:	 avo 1	 9 0
52:	 jyrno42 3	 5 5
53:	 avo 1	 3 5
54:	 jyrno42 3	 Ajalimiit ületatud
