Vertikaalne (alustaja)	 avo 1
Horisontaalne	 moment92 1
Mängu algus	 2011-01-05 18:33:46
Mängu kestus	 02:33
Võitja	 moment92 1
1:	 avo 1	 10 10
2:	 moment92 1	 0 1
3:	 avo 1	 10 8
4:	 moment92 1	 0 3
5:	 avo 1	 10 6
6:	 moment92 1	 0 5
7:	 avo 1	 10 4
8:	 moment92 1	 0 7
9:	 avo 1	 10 2
10:	 moment92 1	 0 9
11:	 avo 1	 10 0
12:	 moment92 1	 2 1
13:	 avo 1	 8 10
14:	 moment92 1	 4 1
15:	 avo 1	 8 8
16:	 moment92 1	 6 1
17:	 avo 1	 8 6
18:	 moment92 1	 6 10
19:	 avo 1	 8 4
20:	 moment92 1	 2 3
21:	 avo 1	 8 2
22:	 moment92 1	 4 3
23:	 avo 1	 8 0
24:	 moment92 1	 2 5
25:	 avo 1	 6 8
26:	 moment92 1	 2 7
27:	 avo 1	 6 6
28:	 moment92 1	 4 5
29:	 avo 1	 4 10
30:	 moment92 1	 6 3
31:	 avo 1	 1 10
32:	 moment92 1	 4 7
33:	 avo 1	 6 4
34:	 moment92 1	 2 9
35:	 avo 1	 4 8
36:	 moment92 1	 2 11
37:	 avo 1	 5 10
38:	 moment92 1	 6 11
39:	 avo 1	 5 8
40:	 moment92 1	 0 0
41:	 avo 1	 11 10
42:	 moment92 1	 0 8
43:	 avo 1	 11 8
44:	 moment92 1	 2 10
45:	 avo 1	 11 6
46:	 moment92 1	 0 2
47:	 avo 1	 11 4
48:	 moment92 1	 0 4
49:	 avo 1	 11 2
50:	 moment92 1	 2 4
51:	 avo 1	 11 0
52:	 moment92 1	 4 4
53:	 avo 1	 9 10
54:	 moment92 1	 0 6
55:	 avo 1	 9 8
56:	 moment92 1	 2 6
57:	 avo 1	 7 8
58:	 moment92 1	 4 6
59:	 avo 1	 9 6
60:	 moment92 1	 2 0
61:	 avo 1	 9 4
62:	 moment92 1	 6 0
63:	 avo 1	 9 2
64:	 moment92 1	 2 8
65:	 avo 1	 9 0
66:	 moment92 1	 4 0
67:	 avo 1	 7 6
68:	 moment92 1	 2 2
69:	 avo 1	 7 4
70:	 moment92 1	 4 2
71:	 avo 1	 0 10
72:	 moment92 1	 6 2
