Vertikaalne (alustaja)	 avo 1
Horisontaalne	 propeller 1
Mängu algus	 2011-01-05 18:25:01
Mängu kestus	 00:02
Võitja	 propeller 1
1:	 avo 1	 10 10
2:	 propeller 1	 0 1
3:	 avo 1	 10 8
4:	 propeller 1	 0 3
5:	 avo 1	 10 6
6:	 propeller 1	 0 5
7:	 avo 1	 10 4
8:	 propeller 1	 0 7
9:	 avo 1	 10 2
10:	 propeller 1	 0 9
11:	 avo 1	 10 0
12:	 propeller 1	 0 10
13:	 avo 1	 8 10
14:	 propeller 1	 2 1
15:	 avo 1	 8 8
16:	 propeller 1	 2 3
17:	 avo 1	 8 6
18:	 propeller 1	 2 5
19:	 avo 1	 8 4
20:	 propeller 1	 2 7
21:	 avo 1	 8 2
22:	 propeller 1	 2 9
23:	 avo 1	 8 0
24:	 propeller 1	 2 10
25:	 avo 1	 6 10
26:	 propeller 1	 4 1
27:	 avo 1	 6 8
28:	 propeller 1	 4 3
29:	 avo 1	 6 6
30:	 propeller 1	 4 5
31:	 avo 1	 6 4
32:	 propeller 1	 4 7
33:	 avo 1	 6 2
34:	 propeller 1	 4 9
35:	 avo 1	 7 0
36:	 propeller 1	 4 10
37:	 avo 1	 6 0
38:	 propeller 1	 0 0
39:	 avo 1	 11 10
40:	 propeller 1	 0 2
41:	 avo 1	 11 8
42:	 propeller 1	 0 4
43:	 avo 1	 11 6
44:	 propeller 1	 0 6
45:	 avo 1	 11 4
46:	 propeller 1	 0 8
47:	 avo 1	 11 2
48:	 propeller 1	 0 11
49:	 avo 1	 11 0
50:	 propeller 1	 2 0
51:	 avo 1	 9 10
52:	 propeller 1	 2 2
53:	 avo 1	 9 8
54:	 propeller 1	 2 4
55:	 avo 1	 9 6
56:	 propeller 1	 2 6
57:	 avo 1	 9 4
58:	 propeller 1	 2 8
59:	 avo 1	 9 2
60:	 propeller 1	 2 11
61:	 avo 1	 9 0
62:	 propeller 1	 4 0
63:	 avo 1	 7 10
64:	 propeller 1	 4 2
65:	 avo 1	 7 8
66:	 propeller 1	 4 4
67:	 avo 1	 7 6
68:	 propeller 1	 4 6
69:	 avo 1	 7 4
70:	 propeller 1	 4 8
71:	 avo 1	 7 2
72:	 propeller 1	 4 11
