Vertikaalne (alustaja)	 ayanami 1
Horisontaalne	 purgeen 2
Mängu algus	 2011-01-05 18:25:10
Mängu kestus	 00:01
Võitja	 purgeen 2
1:	 ayanami 1	 1 0
2:	 purgeen 2	 10 10
3:	 ayanami 1	 3 0
4:	 purgeen 2	 10 8
5:	 ayanami 1	 5 0
6:	 purgeen 2	 10 6
7:	 ayanami 1	 7 0
8:	 purgeen 2	 10 4
9:	 ayanami 1	 9 0
10:	 purgeen 2	 10 1
11:	 ayanami 1	 10 2
12:	 purgeen 2	 8 10
13:	 ayanami 1	 1 2
14:	 purgeen 2	 8 8
15:	 ayanami 1	 3 2
16:	 purgeen 2	 8 6
17:	 ayanami 1	 5 2
18:	 purgeen 2	 8 4
19:	 ayanami 1	 7 2
20:	 purgeen 2	 8 2
21:	 ayanami 1	 1 4
22:	 purgeen 2	 6 10
23:	 ayanami 1	 3 4
24:	 purgeen 2	 6 8
25:	 ayanami 1	 5 4
26:	 purgeen 2	 6 6
27:	 ayanami 1	 7 4
28:	 purgeen 2	 4 10
29:	 ayanami 1	 1 6
30:	 purgeen 2	 4 8
31:	 ayanami 1	 3 6
32:	 purgeen 2	 4 6
33:	 ayanami 1	 1 8
34:	 purgeen 2	 2 10
35:	 ayanami 1	 3 8
36:	 purgeen 2	 0 10
37:	 ayanami 1	 8 0
38:	 purgeen 2	 10 0
39:	 ayanami 1	 6 0
40:	 purgeen 2	 8 3
41:	 ayanami 1	 11 2
42:	 purgeen 2	 10 11
43:	 ayanami 1	 4 0
44:	 purgeen 2	 10 9
45:	 ayanami 1	 2 0
46:	 purgeen 2	 10 7
47:	 ayanami 1	 0 0
48:	 purgeen 2	 10 5
49:	 ayanami 1	 6 2
50:	 purgeen 2	 8 5
51:	 ayanami 1	 6 4
52:	 purgeen 2	 8 11
53:	 ayanami 1	 4 2
54:	 purgeen 2	 8 9
55:	 ayanami 1	 4 4
56:	 purgeen 2	 8 7
57:	 ayanami 1	 2 2
58:	 purgeen 2	 6 11
59:	 ayanami 1	 0 2
60:	 purgeen 2	 6 9
61:	 ayanami 1	 2 4
62:	 purgeen 2	 4 9
63:	 ayanami 1	 0 4
64:	 purgeen 2	 6 7
65:	 ayanami 1	 2 8
66:	 purgeen 2	 4 7
67:	 ayanami 1	 2 6
68:	 purgeen 2	 4 11
69:	 ayanami 1	 0 6
70:	 purgeen 2	 2 11
71:	 ayanami 1	 0 8
72:	 purgeen 2	 0 11
