Vertikaalne (alustaja)	 jrepan 1
Horisontaalne	 moment92 1
Mängu algus	 2011-01-28 07:39:02
Mängu kestus	 02:14
Võitja	 moment92 1
1:	 jrepan 1	 1 0
2:	 moment92 1	 2 1
3:	 jrepan 1	 1 2
4:	 moment92 1	 2 3
5:	 jrepan 1	 1 4
6:	 moment92 1	 10 10
7:	 jrepan 1	 1 6
8:	 moment92 1	 10 1
9:	 jrepan 1	 1 8
10:	 moment92 1	 4 1
11:	 jrepan 1	 1 10
12:	 moment92 1	 4 3
13:	 jrepan 1	 3 4
14:	 moment92 1	 8 10
15:	 jrepan 1	 3 6
16:	 moment92 1	 2 10
17:	 jrepan 1	 3 8
18:	 moment92 1	 4 5
19:	 jrepan 1	 5 6
20:	 moment92 1	 6 1
21:	 jrepan 1	 5 8
22:	 moment92 1	 8 1
23:	 jrepan 1	 5 10
24:	 moment92 1	 6 10
25:	 jrepan 1	 7 2
26:	 moment92 1	 6 8
27:	 jrepan 1	 7 4
28:	 moment92 1	 8 8
29:	 jrepan 1	 7 6
30:	 moment92 1	 8 3
31:	 jrepan 1	 9 4
32:	 moment92 1	 10 8
33:	 jrepan 1	 10 6
34:	 moment92 1	 8 6
35:	 jrepan 1	 10 2
36:	 moment92 1	 10 5
37:	 jrepan 1	 11 3
38:	 moment92 1	 3 11
39:	 jrepan 1	 6 2
40:	 moment92 1	 4 4
41:	 jrepan 1	 8 4
42:	 moment92 1	 2 0
43:	 jrepan 1	 11 6
44:	 moment92 1	 2 2
45:	 jrepan 1	 6 4
46:	 moment92 1	 4 0
47:	 jrepan 1	 6 6
48:	 moment92 1	 4 2
49:	 jrepan 1	 0 0
50:	 moment92 1	 6 0
51:	 jrepan 1	 0 2
52:	 moment92 1	 6 9
53:	 jrepan 1	 0 4
54:	 moment92 1	 6 11
55:	 jrepan 1	 0 6
56:	 moment92 1	 8 0
57:	 jrepan 1	 0 8
58:	 moment92 1	 8 2
59:	 jrepan 1	 0 10
60:	 moment92 1	 8 7
61:	 jrepan 1	 2 4
62:	 moment92 1	 8 9
63:	 jrepan 1	 2 6
64:	 moment92 1	 8 11
65:	 jrepan 1	 2 8
66:	 moment92 1	 10 0
67:	 jrepan 1	 4 6
68:	 moment92 1	 10 9
69:	 jrepan 1	 4 8
70:	 moment92 1	 10 11
