Vertikaalne (alustaja)	 jyrno42 3
Horisontaalne	 agoa 3
Mängu algus	 2011-01-05 18:29:46
Mängu kestus	 00:20
Võitja	 agoa 3
1:	 jyrno42 3	 4 0
2:	 agoa 3	 2 0
3:	 jyrno42 3	 6 0
4:	 agoa 3	 7 0
5:	 jyrno42 3	 4 2
6:	 agoa 3	 9 0
7:	 jyrno42 3	 2 1
8:	 agoa 3	 0 1
9:	 jyrno42 3	 2 3
10:	 agoa 3	 5 2
11:	 jyrno42 3	 8 1
12:	 agoa 3	 9 2
13:	 jyrno42 3	 6 3
14:	 agoa 3	 0 3
15:	 jyrno42 3	 4 4
16:	 agoa 3	 7 4
17:	 jyrno42 3	 2 5
18:	 agoa 3	 9 4
19:	 jyrno42 3	 2 10
20:	 agoa 3	 0 5
21:	 jyrno42 3	 4 10
22:	 agoa 3	 3 6
23:	 jyrno42 3	 6 10
24:	 agoa 3	 5 6
25:	 jyrno42 3	 8 10
26:	 agoa 3	 7 6
27:	 jyrno42 3	 10 10
28:	 agoa 3	 9 6
29:	 jyrno42 3	 8 7
30:	 agoa 3	 0 7
31:	 jyrno42 3	 6 7
32:	 agoa 3	 2 8
33:	 jyrno42 3	 10 7
34:	 agoa 3	 4 8
35:	 jyrno42 3	 0 8
36:	 agoa 3	 0 10
37:	 jyrno42 3	 3 9
38:	 agoa 3	 10 3
39:	 jyrno42 3	 5 9
40:	 agoa 3	 10 5
41:	 jyrno42 3	 11 1
42:	 agoa 3	 10 9
43:	 jyrno42 3	 11 10
44:	 agoa 3	 1 9
45:	 jyrno42 3	 11 7
46:	 agoa 3	 9 1
47:	 jyrno42 3	 5 0
48:	 agoa 3	 0 2
49:	 jyrno42 3	 7 8
50:	 agoa 3	 8 9
51:	 jyrno42 3	 7 10
52:	 agoa 3	 7 3
53:	 jyrno42 3	 7 1
54:	 agoa 3	 0 4
55:	 jyrno42 3	 9 7
56:	 agoa 3	 5 5
57:	 jyrno42 3	 5 3
58:	 agoa 3	 7 5
59:	 jyrno42 3	 9 10
60:	 agoa 3	 0 6
61:	 jyrno42 3	 3 1
62:	 agoa 3	 2 7
63:	 jyrno42 3	 3 3
64:	 agoa 3	 0 0
