Vertikaalne (alustaja)	 macobo 1
Horisontaalne	 propeller 1
Mängu algus	 2011-01-02 18:17:10
Mängu kestus	 03:00
Võitja	 propeller 1
1:	 macobo 1	 1 0
2:	 propeller 1	 0 10
3:	 macobo 1	 1 2
4:	 propeller 1	 0 8
5:	 macobo 1	 1 4
6:	 propeller 1	 0 6
7:	 macobo 1	 3 0
8:	 propeller 1	 2 10
9:	 macobo 1	 3 2
10:	 propeller 1	 2 8
11:	 macobo 1	 3 4
12:	 propeller 1	 2 6
13:	 macobo 1	 5 0
14:	 propeller 1	 4 10
15:	 macobo 1	 5 2
16:	 propeller 1	 4 8
17:	 macobo 1	 5 4
18:	 propeller 1	 4 6
19:	 macobo 1	 7 0
20:	 propeller 1	 6 10
21:	 macobo 1	 7 2
22:	 propeller 1	 6 8
23:	 macobo 1	 7 4
24:	 propeller 1	 6 6
25:	 macobo 1	 9 0
26:	 propeller 1	 8 10
27:	 macobo 1	 9 2
28:	 propeller 1	 8 8
29:	 macobo 1	 9 4
30:	 propeller 1	 8 6
31:	 macobo 1	 11 0
32:	 propeller 1	 10 10
33:	 macobo 1	 11 2
34:	 propeller 1	 10 8
35:	 macobo 1	 11 4
36:	 propeller 1	 10 6
37:	 macobo 1	 0 0
38:	 propeller 1	 0 7
39:	 macobo 1	 0 2
40:	 propeller 1	 0 9
41:	 macobo 1	 0 4
42:	 propeller 1	 0 11
43:	 macobo 1	 2 0
44:	 propeller 1	 2 7
45:	 macobo 1	 2 2
46:	 propeller 1	 2 9
47:	 macobo 1	 2 4
48:	 propeller 1	 2 11
49:	 macobo 1	 4 0
50:	 propeller 1	 4 7
51:	 macobo 1	 4 2
52:	 propeller 1	 4 9
53:	 macobo 1	 4 4
54:	 propeller 1	 4 11
55:	 macobo 1	 6 0
56:	 propeller 1	 6 7
57:	 macobo 1	 6 2
58:	 propeller 1	 6 9
59:	 macobo 1	 6 4
60:	 propeller 1	 6 11
61:	 macobo 1	 8 0
62:	 propeller 1	 8 7
63:	 macobo 1	 8 2
64:	 propeller 1	 8 9
65:	 macobo 1	 8 4
66:	 propeller 1	 8 11
67:	 macobo 1	 10 0
68:	 propeller 1	 10 7
69:	 macobo 1	 10 2
70:	 propeller 1	 10 9
71:	 macobo 1	 Ajalimiit ületatud
