Vertikaalne (alustaja)	 macobo 3
Horisontaalne	 Aljevt 2
Mängu algus	 2011-01-02 18:28:56
Mängu kestus	 00:01
Võitja	 Aljevt 2
1:	 macobo 3	 11 0
2:	 Aljevt 2	 10 10
3:	 macobo 3	 10 8
4:	 Aljevt 2	 10 6
5:	 macobo 3	 10 4
6:	 Aljevt 2	 10 2
7:	 macobo 3	 10 0
8:	 Aljevt 2	 8 10
9:	 macobo 3	 8 8
10:	 Aljevt 2	 8 6
11:	 macobo 3	 8 4
12:	 Aljevt 2	 8 2
13:	 macobo 3	 8 0
14:	 Aljevt 2	 6 10
15:	 macobo 3	 6 8
16:	 Aljevt 2	 6 6
17:	 macobo 3	 6 4
18:	 Aljevt 2	 6 2
19:	 macobo 3	 6 0
20:	 Aljevt 2	 4 10
21:	 macobo 3	 4 8
22:	 Aljevt 2	 4 6
23:	 macobo 3	 4 4
24:	 Aljevt 2	 4 2
25:	 macobo 3	 4 0
26:	 Aljevt 2	 2 10
27:	 macobo 3	 2 8
28:	 Aljevt 2	 2 6
29:	 macobo 3	 2 4
30:	 Aljevt 2	 2 2
31:	 macobo 3	 2 0
32:	 Aljevt 2	 0 10
33:	 macobo 3	 0 8
34:	 Aljevt 2	 0 6
35:	 macobo 3	 0 4
36:	 Aljevt 2	 0 2
37:	 macobo 3	 0 0
38:	 Aljevt 2	 10 11
39:	 macobo 3	 11 4
40:	 Aljevt 2	 10 7
41:	 macobo 3	 11 8
42:	 Aljevt 2	 10 3
43:	 macobo 3	 9 0
44:	 Aljevt 2	 8 11
45:	 macobo 3	 9 4
46:	 Aljevt 2	 8 7
47:	 macobo 3	 9 8
48:	 Aljevt 2	 8 3
49:	 macobo 3	 7 0
50:	 Aljevt 2	 6 11
51:	 macobo 3	 7 4
52:	 Aljevt 2	 6 7
53:	 macobo 3	 7 8
54:	 Aljevt 2	 6 3
55:	 macobo 3	 5 0
56:	 Aljevt 2	 4 11
57:	 macobo 3	 5 4
58:	 Aljevt 2	 4 7
59:	 macobo 3	 5 8
60:	 Aljevt 2	 4 3
61:	 macobo 3	 3 0
62:	 Aljevt 2	 2 11
63:	 macobo 3	 3 4
64:	 Aljevt 2	 2 7
65:	 macobo 3	 3 8
66:	 Aljevt 2	 2 3
67:	 macobo 3	 1 0
68:	 Aljevt 2	 0 11
69:	 macobo 3	 1 4
70:	 Aljevt 2	 0 7
71:	 macobo 3	 1 8
72:	 Aljevt 2	 0 3
