Vertikaalne (alustaja)	 moment92 1
Horisontaalne	 antsr 2
Mängu algus	 2011-01-05 18:30:46
Mängu kestus	 02:32
Võitja	 moment92 1
1:	 moment92 1	 1 0
2:	 antsr 2	 10 10
3:	 moment92 1	 1 2
4:	 antsr 2	 10 8
5:	 moment92 1	 1 4
6:	 antsr 2	 10 6
7:	 moment92 1	 1 6
8:	 antsr 2	 10 4
9:	 moment92 1	 1 8
10:	 antsr 2	 10 2
11:	 moment92 1	 1 10
12:	 antsr 2	 8 10
13:	 moment92 1	 10 0
14:	 antsr 2	 8 8
15:	 moment92 1	 3 0
16:	 antsr 2	 8 6
17:	 moment92 1	 3 10
18:	 antsr 2	 8 4
19:	 moment92 1	 3 8
20:	 antsr 2	 8 2
21:	 moment92 1	 3 2
22:	 antsr 2	 6 10
23:	 moment92 1	 3 4
24:	 antsr 2	 4 10
25:	 moment92 1	 8 0
26:	 antsr 2	 6 8
27:	 moment92 1	 5 0
28:	 antsr 2	 6 1
29:	 moment92 1	 5 8
30:	 antsr 2	 6 6
31:	 moment92 1	 5 2
32:	 antsr 2	 6 4
33:	 moment92 1	 7 2
34:	 antsr 2	 4 6
35:	 moment92 1	 5 4
36:	 antsr 2	 2 6
37:	 moment92 1	 2 7
38:	 antsr 2	 3 7
39:	 moment92 1	 6 2
40:	 antsr 2	 6 0
41:	 moment92 1	 9 0
42:	 antsr 2	 10 11
43:	 moment92 1	 11 0
44:	 antsr 2	 10 9
45:	 moment92 1	 0 0
46:	 antsr 2	 10 7
47:	 moment92 1	 0 2
48:	 antsr 2	 10 5
49:	 moment92 1	 0 4
50:	 antsr 2	 10 3
51:	 moment92 1	 0 6
52:	 antsr 2	 8 3
53:	 moment92 1	 0 8
54:	 antsr 2	 8 11
55:	 moment92 1	 4 8
56:	 antsr 2	 8 9
57:	 moment92 1	 2 0
58:	 antsr 2	 6 9
59:	 moment92 1	 2 4
60:	 antsr 2	 8 7
61:	 moment92 1	 2 9
62:	 antsr 2	 8 5
63:	 moment92 1	 0 10
64:	 antsr 2	 6 5
65:	 moment92 1	 2 2
66:	 antsr 2	 6 11
67:	 moment92 1	 4 0
68:	 antsr 2	 4 11
69:	 moment92 1	 4 2
70:	 antsr 2	 6 7
71:	 moment92 1	 4 4
