Vertikaalne (alustaja)	 moment92 2
Horisontaalne	 Ignorance 2
Mängu algus	 2011-01-05 18:18:52
Mängu kestus	 02:27
Võitja	 moment92 2
1:	 moment92 2	 1 1
2:	 Ignorance 2	 0 4
3:	 moment92 2	 1 5
4:	 Ignorance 2	 0 8
5:	 moment92 2	 1 9
6:	 Ignorance 2	 2 0
7:	 moment92 2	 10 10
8:	 Ignorance 2	 2 2
9:	 moment92 2	 8 10
10:	 Ignorance 2	 2 4
11:	 moment92 2	 3 5
12:	 Ignorance 2	 2 8
13:	 moment92 2	 3 9
14:	 Ignorance 2	 4 0
15:	 moment92 2	 10 0
16:	 Ignorance 2	 4 2
17:	 moment92 2	 10 2
18:	 Ignorance 2	 4 4
19:	 moment92 2	 5 5
20:	 Ignorance 2	 4 8
21:	 moment92 2	 5 9
22:	 Ignorance 2	 6 0
23:	 moment92 2	 10 4
24:	 Ignorance 2	 6 2
25:	 moment92 2	 7 5
26:	 Ignorance 2	 6 4
27:	 moment92 2	 7 9
28:	 Ignorance 2	 6 8
29:	 moment92 2	 8 0
30:	 Ignorance 2	 8 2
31:	 moment92 2	 8 3
32:	 Ignorance 2	 8 6
33:	 moment92 2	 9 8
34:	 Ignorance 2	 10 6
35:	 moment92 2	 11 8
36:	 Ignorance 2	 0 0
37:	 moment92 2	 4 6
38:	 Ignorance 2	 0 3
39:	 moment92 2	 0 1
40:	 Ignorance 2	 0 7
41:	 moment92 2	 10 7
42:	 Ignorance 2	 0 11
43:	 moment92 2	 0 5
44:	 Ignorance 2	 2 1
45:	 moment92 2	 0 9
46:	 Ignorance 2	 2 3
47:	 moment92 2	 9 0
48:	 Ignorance 2	 2 7
49:	 moment92 2	 2 5
50:	 Ignorance 2	 2 11
51:	 moment92 2	 2 9
52:	 Ignorance 2	 4 1
53:	 moment92 2	 9 10
54:	 Ignorance 2	 4 3
55:	 moment92 2	 11 0
56:	 Ignorance 2	 4 11
57:	 moment92 2	 11 10
58:	 Ignorance 2	 5 7
59:	 moment92 2	 11 4
60:	 Ignorance 2	 6 1
61:	 moment92 2	 8 7
62:	 Ignorance 2	 6 3
63:	 moment92 2	 4 9
64:	 Ignorance 2	 6 11
65:	 moment92 2	 9 4
