Vertikaalne (alustaja)	 moment92 2
Horisontaalne	 shelajev 3
Mängu algus	 2011-01-28 07:36:28
Mängu kestus	 02:01
Võitja	 moment92 2
1:	 moment92 2	 10 10
2:	 shelajev 3	 8 10
3:	 moment92 2	 1 0
4:	 shelajev 3	 2 1
5:	 moment92 2	 1 8
6:	 shelajev 3	 4 1
7:	 moment92 2	 1 2
8:	 shelajev 3	 2 3
9:	 moment92 2	 1 10
10:	 shelajev 3	 2 10
11:	 moment92 2	 1 4
12:	 shelajev 3	 2 8
13:	 moment92 2	 1 6
14:	 shelajev 3	 4 10
15:	 moment92 2	 3 4
16:	 shelajev 3	 6 10
17:	 moment92 2	 3 6
18:	 shelajev 3	 6 1
19:	 moment92 2	 10 0
20:	 shelajev 3	 8 1
21:	 moment92 2	 10 2
22:	 shelajev 3	 8 3
23:	 moment92 2	 10 4
24:	 shelajev 3	 8 5
25:	 moment92 2	 10 6
26:	 shelajev 3	 8 7
27:	 moment92 2	 10 8
28:	 shelajev 3	 6 3
29:	 moment92 2	 5 7
30:	 shelajev 3	 6 8
31:	 moment92 2	 5 3
32:	 shelajev 3	 6 5
33:	 moment92 2	 5 5
34:	 shelajev 3	 6 7
35:	 moment92 2	 8 8
36:	 shelajev 3	 4 2
37:	 moment92 2	 4 8
38:	 shelajev 3	 2 9
39:	 moment92 2	 0 0
40:	 shelajev 3	 2 2
41:	 moment92 2	 0 2
42:	 shelajev 3	 6 2
43:	 moment92 2	 0 4
44:	 shelajev 3	 8 2
45:	 moment92 2	 0 6
46:	 shelajev 3	 2 0
47:	 moment92 2	 0 8
48:	 shelajev 3	 8 11
49:	 moment92 2	 0 10
50:	 shelajev 3	 6 11
51:	 moment92 2	 2 4
52:	 shelajev 3	 5 9
53:	 moment92 2	 2 6
54:	 shelajev 3	 4 0
55:	 moment92 2	 4 4
56:	 shelajev 3	 6 0
57:	 moment92 2	 4 6
58:	 shelajev 3	 8 0
59:	 moment92 2	 9 8
60:	 shelajev 3	 6 6
61:	 moment92 2	 11 0
62:	 shelajev 3	 8 6
63:	 moment92 2	 11 2
64:	 shelajev 3	 2 11
65:	 moment92 2	 11 4
66:	 shelajev 3	 4 11
67:	 moment92 2	 11 6
68:	 shelajev 3	 6 4
69:	 moment92 2	 11 8
70:	 shelajev 3	 8 4
71:	 moment92 2	 11 10
