Vertikaalne (alustaja)	 moment92 3
Horisontaalne	 jrepan 2
Mängu algus	 2011-01-28 07:51:30
Mängu kestus	 00:03
Võitja	 moment92 3
1:	 moment92 3	 1 1
2:	 jrepan 2	 0 4
3:	 moment92 3	 1 5
4:	 jrepan 2	 0 8
5:	 moment92 3	 1 9
6:	 jrepan 2	 2 1
7:	 moment92 3	 10 0
8:	 jrepan 2	 2 5
9:	 moment92 3	 8 0
10:	 jrepan 2	 4 1
11:	 moment92 3	 10 2
12:	 jrepan 2	 2 10
13:	 moment92 3	 3 8
14:	 jrepan 2	 4 5
15:	 moment92 3	 8 2
16:	 jrepan 2	 4 7
17:	 moment92 3	 5 8
18:	 jrepan 2	 4 10
19:	 moment92 3	 10 4
20:	 jrepan 2	 6 1
21:	 moment92 3	 6 2
22:	 jrepan 2	 6 5
23:	 moment92 3	 4 2
24:	 jrepan 2	 2 3
25:	 moment92 3	 10 6
26:	 jrepan 2	 6 7
27:	 moment92 3	 7 8
28:	 jrepan 2	 8 5
29:	 moment92 3	 10 8
30:	 jrepan 2	 8 7
31:	 moment92 3	 10 10
32:	 jrepan 2	 6 10
33:	 moment92 3	 8 10
34:	 jrepan 2	 0 3
35:	 moment92 3	 8 8
36:	 jrepan 2	 2 7
37:	 moment92 3	 0 0
38:	 jrepan 2	 0 7
39:	 moment92 3	 0 5
40:	 jrepan 2	 8 4
41:	 moment92 3	 2 8
42:	 jrepan 2	 0 11
43:	 moment92 3	 0 9
44:	 jrepan 2	 2 2
45:	 moment92 3	 4 8
46:	 jrepan 2	 1 0
47:	 moment92 3	 6 8
48:	 jrepan 2	 2 4
49:	 moment92 3	 9 0
50:	 jrepan 2	 2 6
51:	 moment92 3	 9 2
52:	 jrepan 2	 2 11
53:	 moment92 3	 9 8
54:	 jrepan 2	 3 0
55:	 moment92 3	 9 10
56:	 jrepan 2	 4 4
57:	 moment92 3	 5 2
58:	 jrepan 2	 6 4
59:	 moment92 3	 7 2
60:	 jrepan 2	 4 11
61:	 moment92 3	 11 0
62:	 jrepan 2	 4 6
63:	 moment92 3	 11 2
64:	 jrepan 2	 5 0
65:	 moment92 3	 11 4
66:	 jrepan 2	 6 6
67:	 moment92 3	 11 6
68:	 jrepan 2	 6 11
69:	 moment92 3	 11 8
70:	 jrepan 2	 8 6
71:	 moment92 3	 11 10
