Vertikaalne (alustaja)	 moment92 3
Horisontaalne	 macobo 3
Mängu algus	 2010-12-31 09:35:49
Mängu kestus	 00:00
Võitja	 macobo 3
1:	 moment92 3	 1 0
2:	 macobo 3	 10 1
3:	 moment92 3	 1 2
4:	 macobo 3	 10 3
5:	 moment92 3	 1 4
6:	 macobo 3	 10 5
7:	 moment92 3	 1 6
8:	 macobo 3	 10 7
9:	 moment92 3	 1 8
10:	 macobo 3	 10 9
11:	 moment92 3	 1 10
12:	 macobo 3	 10 11
13:	 moment92 3	 3 0
14:	 macobo 3	 8 1
15:	 moment92 3	 3 2
16:	 macobo 3	 8 3
17:	 moment92 3	 3 4
18:	 macobo 3	 8 5
19:	 moment92 3	 3 6
20:	 macobo 3	 8 7
21:	 moment92 3	 3 8
22:	 macobo 3	 8 9
23:	 moment92 3	 3 10
24:	 macobo 3	 8 11
25:	 moment92 3	 5 0
26:	 macobo 3	 6 1
27:	 moment92 3	 5 2
28:	 macobo 3	 6 3
29:	 moment92 3	 5 4
30:	 macobo 3	 6 5
31:	 moment92 3	 5 6
32:	 macobo 3	 6 7
33:	 moment92 3	 5 8
34:	 macobo 3	 6 9
35:	 moment92 3	 5 10
36:	 macobo 3	 6 11
37:	 moment92 3	 0 0
38:	 macobo 3	 6 0
39:	 moment92 3	 0 2
40:	 macobo 3	 6 2
41:	 moment92 3	 0 4
42:	 macobo 3	 6 4
43:	 moment92 3	 0 6
44:	 macobo 3	 6 6
45:	 moment92 3	 0 8
46:	 macobo 3	 6 8
47:	 moment92 3	 0 10
48:	 macobo 3	 6 10
49:	 moment92 3	 2 0
50:	 macobo 3	 8 0
51:	 moment92 3	 2 2
52:	 macobo 3	 8 2
53:	 moment92 3	 2 4
54:	 macobo 3	 8 4
55:	 moment92 3	 2 6
56:	 macobo 3	 8 6
57:	 moment92 3	 2 8
58:	 macobo 3	 8 8
59:	 moment92 3	 2 10
60:	 macobo 3	 8 10
61:	 moment92 3	 4 0
62:	 macobo 3	 10 0
63:	 moment92 3	 4 2
64:	 macobo 3	 10 2
65:	 moment92 3	 4 4
66:	 macobo 3	 10 4
67:	 moment92 3	 4 6
68:	 macobo 3	 10 6
69:	 moment92 3	 4 8
70:	 macobo 3	 10 8
71:	 moment92 3	 4 10
72:	 macobo 3	 10 10
